Date,Open,High,Low,Close,Adj Close,Volume
2021-05-17,232000.000000,232500.000000,225000.000000,227000.000000,227000.000000,875528
2021-05-18,227500.000000,232500.000000,226000.000000,231000.000000,231000.000000,1034501
2021-05-20,228500.000000,230500.000000,224000.000000,224500.000000,224500.000000,1190072
2021-05-21,227000.000000,233000.000000,225500.000000,227500.000000,227500.000000,1333704
2021-05-24,227500.000000,231000.000000,226000.000000,228000.000000,228000.000000,765657
2021-05-25,230000.000000,230000.000000,225000.000000,227500.000000,227500.000000,781950
2021-05-26,227500.000000,229000.000000,222500.000000,223500.000000,223500.000000,1088210
2021-05-27,223000.000000,223500.000000,220000.000000,220500.000000,220500.000000,2306997
2021-05-28,223500.000000,232500.000000,223000.000000,232000.000000,232000.000000,2394356
2021-05-31,233000.000000,235500.000000,230500.000000,235000.000000,235000.000000,1132711
2021-06-01,235000.000000,237500.000000,232500.000000,237000.000000,237000.000000,1027141
2021-06-02,238500.000000,243000.000000,235500.000000,238000.000000,238000.000000,1707167
2021-06-03,238500.000000,240500.000000,236500.000000,238500.000000,238500.000000,1034103
2021-06-04,241500.000000,243000.000000,238000.000000,241500.000000,241500.000000,1333789
2021-06-07,244500.000000,247500.000000,240500.000000,241500.000000,241500.000000,1343895
2021-06-08,241500.000000,245000.000000,238500.000000,243500.000000,243500.000000,875362
2021-06-09,243000.000000,245500.000000,239000.000000,239500.000000,239500.000000,941037
2021-06-10,239000.000000,240000.000000,236000.000000,236000.000000,236000.000000,1094346
2021-06-11,237500.000000,241500.000000,237000.000000,238500.000000,238500.000000,687536
2021-06-14,238500.000000,240000.000000,235000.000000,238000.000000,238000.000000,561560
2021-06-15,238000.000000,239000.000000,235500.000000,237000.000000,237000.000000,471192
2021-06-16,237000.000000,243000.000000,237000.000000,239500.000000,239500.000000,778322
2021-06-17,239000.000000,239500.000000,236000.000000,236500.000000,236500.000000,724881
2021-06-18,237000.000000,238000.000000,235000.000000,235000.000000,235000.000000,1036077
2021-06-21,234000.000000,236000.000000,232000.000000,233000.000000,233000.000000,823355
2021-06-22,235500.000000,243000.000000,235000.000000,241000.000000,241000.000000,1299242
2021-06-23,242000.000000,243000.000000,239000.000000,242500.000000,242500.000000,843399
2021-06-24,243500.000000,249000.000000,241000.000000,242500.000000,242500.000000,1494131
2021-06-25,243500.000000,244000.000000,241000.000000,243000.000000,243000.000000,537893
2021-06-28,244000.000000,244500.000000,240000.000000,241000.000000,241000.000000,575102
2021-06-29,240500.000000,242500.000000,239000.000000,239500.000000,239500.000000,627915
